Name,Gender,Course,Round,Hole,Par,Score,FIR,GIR,Approach.Dist,Putts,Exp_Putts,strokesgained,PuttLength
Player 15,Female,Nemacolin Resort - Shepards Rock,Qualifying,18,4,7,Missed,Miss,51-75 yards,2,1.256,-0.744,5
Player 5,Male,Longue Vue Club,Qualifying,17,4,4,Hit,Miss,176-200 yards,1,1.256,0.256,5
Player 10,Male,PGA National - Champions,Tournament,7,3,3,Not Applicable (PAR 3),Miss,151-175 yards,1,1.256,0.256,5
Player 10,Male,Avalon Lakes Golf Club,Qualifying,5,4,4,Missed,Miss,Less than 50 yards,1,1.256,0.256,5
Player 4,Male,Nemacolin Resort - Shepards Rock,Qualifying,10,4,5,Hit,Miss,126-150 yards,1,1.256,0.256,5
Player 12,Male,Meadville Country Club,Tournament,16,4,5,Missed,Miss,101-125 yards,1,1.256,0.256,5
Player 15,Female,Avalon Lakes Golf Club,Qualifying,15,4,3,Hit,Hit,51-75 yards,1,1.256,0.256,5
Player 4,Male,Nemacolin Resort - Shepards Rock,Qualifying,10,4,6,Hit,Miss,126-150 yards,3,1.256,-1.744,5
Player 10,Male,Pittsburgh Field Club,Qualifying,13,4,4,Hit,Miss,176-200 yards,1,1.256,0.256,5
Player 10,Male,Nemacolin Resort - Shepards Rock,Qualifying,10,4,4,Hit,Miss,126-150 yards,1,1.256,0.256,5
Player 11,Male,Nemacolin Resort - Shepards Rock,Qualifying,2,4,3,Hit,Hit,176-200 yards,1,1.256,0.256,5
Player 4,Male,Avalon Lakes Golf Club,Qualifying,9,4,4,Hit,Hit,51-75 yards,2,1.256,-0.744,5
Player 12,Male,Avalon Lakes Golf Club,Qualifying,6,5,6,Hit,Miss,51-75 yards,2,1.256,-0.744,5
Player 8,Male,Longue Vue Club,Qualifying,9,4,4,Hit,Miss,Less than 50 yards,1,1.256,0.256,5
Player 3,Male,PGA National - Champions,Tournament,18,5,5,Missed,Miss,126-150 yards,1,1.256,0.256,5
Player 2,Male,Avalon Lakes Golf Club,Qualifying,16,3,4,Not Applicable (PAR 3),Miss,176-200 yards,1,1.256,0.256,5
Player 6,Male,Columbus Country Club,Tournament,10,5,4,Hit,Hit,Less than 50 yards,1,1.256,0.256,5
Player 8,Male,Indiana Country Club,Qualifying,5,5,4,Missed,Hit,201-225 yards,1,1.256,0.256,5
Player 6,Male,Nemacolin Resort - Shepards Rock,Qualifying,15,4,4,Hit,Miss,126-150 yards,1,1.256,0.256,5
Player 11,Male,Sedgefield Country Club - Dye Course,Tournament,13,4,4,Not Applicable (PAR 3),Hit,Less than 50 yards,2,1.256,-0.744,5
Player 20,Female,Meadville Country Club,Tournament,14,4,6,Missed,Miss,126-150 yards,2,1.256,-0.744,5
Player 15,Female,Nemacolin Resort - Shepards Rock,Qualifying,16,4,4,Hit,Miss,76-100 yards,1,1.256,0.256,5
Player 11,Male,Columbus Country Club,Tournament,8,5,5,Missed,Hit,51-75 yards,2,1.256,-0.744,5
Player 3,Male,Longue Vue Club,Qualifying,16,3,3,Not Applicable (PAR 3),Miss,176-200 yards,1,1.256,0.256,5
Player 8,Male,Longue Vue Club,Qualifying,13,4,3,Hit,Hit,76-100 yards,1,1.256,0.256,5
Player 3,Male,PGA National - Champions,Tournament,6,5,4,Missed,Hit,51-75 yards,1,1.256,0.256,5
Player 11,Male,Sedgefield Country Club - Dye Course,Tournament,16,3,3,Not Applicable (PAR 3),Hit,176-200 yards,2,1.256,-0.744,5
Player 8,Male,PGA National - Champions,Tournament,18,5,5,Missed,Miss,176-200 yards,1,1.256,0.256,5
Player 15,Female,Indiana Country Club,Qualifying,3,3,3,Not Applicable (PAR 3),Miss,151-175 yards,1,1.357,0.357,6
Player 3,Male,Sedgefield Country Club - Dye Course,Tournament,6,4,5,Missed,Miss,126-150 yards,2,1.357,-0.643,6
Player 8,Male,Longue Vue Club,Qualifying,7,4,3,Missed,Hit,225 + yards,1,1.357,0.357,6
