"","Name","Course","Hole","Par","Score","Gender"
"232","Player 6","Pittsburgh Field Club","1",4,5,"Male"
"233","Player 11","Longue Vue Club","1",4,5,"Male"
"234","Player 10","Longue Vue Club","1",4,6,"Male"
"235","Player 10","Pittsburgh Field Club","1",4,5,"Male"
"236","Player 10","Longue Vue Club","1",4,5,"Male"
"237","Player 3","Pinnacle Golf Club","1",4,4,"Male"
"238","Player 1","Longue Vue Club","1",4,4,"Male"
"239","Player 4","Columbus Country Club","1",4,5,"Male"
"240","Player 4","Columbus Country Club","1",4,4,"Male"
"241","Player 11","Columbus Country Club","1",4,5,"Male"
"242","Player 11","Columbus Country Club","1",4,4,"Male"
"243","Player 3","Columbus Country Club","1",4,4,"Male"
"244","Player 3","Columbus Country Club","1",4,5,"Male"
"245","Player 11","Columbus Country Club","1",4,5,"Male"
"246","Player 6","Columbus Country Club","1",4,4,"Male"
"247","Player 6","Columbus Country Club","1",4,4,"Male"
"248","Player 6","Columbus Country Club","1",4,4,"Male"
"249","Player 3","Columbus Country Club","1",4,4,"Male"
"250","Player 11","Longue Vue Club","1",4,5,"Male"
"251","Player 4","Longue Vue Club","1",4,6,"Male"
"252","Player 4","Columbus Country Club","1",4,4,"Male"
"253","Player 11","Longue Vue Club","1",4,5,"Male"
"254","Player 10","Longue Vue Club","1",4,5,"Male"
"255","Player 3","Fox Chapel","1",4,4,"Male"
"256","Player 10","Longue Vue Club","1",4,5,"Male"
"257","Player 1","Longue Vue Club","1",4,5,"Male"
"258","Player 1","Longue Vue Club","1",4,4,"Male"
"259","Player 10","Longue Vue Club","1",4,5,"Male"
"260","Player 11","San Destin Resort - Raven","1",4,4,"Male"
"261","Player 3","San Destin Resort - Raven","1",4,4,"Male"
"262","Player 4","San Destin Resort - Raven","1",4,4,"Male"
"263","Player 6","San Destin Resort - Raven","1",4,6,"Male"
"264","Player 3","San Destin Resort - Raven","1",4,3,"Male"
"265","Player 11","San Destin Resort - Raven","1",4,4,"Male"
"266","Player 6","San Destin Resort - Raven","1",4,5,"Male"
"267","Player 12","San Destin Resort - Raven","1",4,4,"Male"
"268","Player 12","San Destin Resort - Raven","1",4,5,"Male"
"269","Player 11","San Destin Resort - Raven","1",4,4,"Male"
"270","Player 6","San Destin Resort - Raven","1",4,4,"Male"
"271","Player 11","Longue Vue Club","1",4,5,"Male"
"272","Player 11","Longue Vue Club","1",4,4,"Male"
"273","Player 3","San Destin Resort - Raven","1",4,4,"Male"
"274","Player 3","Longue Vue Club","1",4,4,"Male"
"275","Player 8","Pittsburgh Field Club","1",4,4,"Male"
"276","Player 8","Longue Vue Club","1",4,5,"Male"
"277","Player 8","Longue Vue Club","1",4,5,"Male"
"278","Player 8","Longue Vue Club","1",4,4,"Male"
"279","Player 8","Longue Vue Club","1",4,4,"Male"
"280","Player 8","Longue Vue Club","1",4,4,"Male"
"281","Player 8","Longue Vue Club","1",4,4,"Male"
"282","Player 3","Sedgefield Country Club - Dye Course","1",4,5,"Male"
"283","Player 11","Sedgefield Country Club - Dye Course","1",4,4,"Male"
"284","Player 11","Sedgefield Country Club - Dye Course","1",4,5,"Male"
"285","Player 3","Sedgefield Country Club - Dye Course","1",4,4,"Male"
"286","Player 8","Sedgefield Country Club - Dye Course","1",4,4,"Male"
"287","Player 8","Sedgefield Country Club - Dye Course","1",4,5,"Male"
"288","Player 4","Sedgefield Country Club - Dye Course","1",4,4,"Male"
"289","Player 4","Sedgefield Country Club - Dye Course","1",4,3,"Male"
"290","Player 3","Wigwam Gold Course","1",4,4,"Male"
"291","Player 3","Wigwam Gold Course","1",4,4,"Male"
"292","Player 3","Wigwam Gold Course","1",4,5,"Male"
"293","Player 1","Longue Vue Club","2",4,4,"Male"
"294","Player 2","Longue Vue Club","2",4,4,"Male"
"295","Player 3","Longue Vue Club","2",4,4,"Male"
"296","Player 3","Avalon Lakes Golf Club","2",4,4,"Male"
"297","Player 4","Avalon Lakes Golf Club","2",4,4,"Male"
"298","Player 5","Longue Vue Club","2",4,4,"Male"
"299","Player 6","Avalon Lakes Golf Club","2",4,4,"Male"
"300","Player 1","Avalon Lakes Golf Club","2",4,5,"Male"
"301","Player 7","Avalon Lakes Golf Club","2",4,6,"Male"
"302","Player 8","Avalon Lakes Golf Club","2",4,5,"Male"
"303","Player 9","Longue Vue Club","2",4,4,"Male"
"304","Player 10","Avalon Lakes Golf Club","2",4,5,"Male"
"305","Player 11","Avalon Lakes Golf Club","2",4,6,"Male"
"306","Player 9","Avalon Lakes Golf Club","2",4,5,"Male"
"307","Player 2","Longue Vue Club","2",4,5,"Male"
"308","Player 2","Avalon Lakes Golf Club","2",4,4,"Male"
"309","Player 12","Avalon Lakes Golf Club","2",4,6,"Male"
"310","Player 1","Nemacolin Resort - Shepards Rock","2",4,5,"Male"
"311","Player 10","Nemacolin Resort - Shepards Rock","2",4,6,"Male"
"312","Player 12","Nemacolin Resort - Shepards Rock","2",4,3,"Male"
"313","Player 11","Nemacolin Resort - Shepards Rock","2",4,3,"Male"
"314","Player 11","Nemacolin Resort - Shepards Rock","2",4,4,"Male"
"315","Player 13","Nemacolin Resort - Shepards Rock","2",4,4,"Male"
"316","Player 15","Avalon Lakes Golf Club","Total",72,82,"Female"
"317","Player 16","Avalon Lakes Golf Club","Total",72,75,"Female"
"318","Player 15","Nemacolin Resort - Shepards Rock","Total",72,81,"Female"
"319","Player 15","Nemacolin Resort - Shepards Rock","Total",72,87,"Female"
"320","Player 16","Nemacolin Resort - Shepards Rock","Total",72,93,"Female"
"321","Player 16","Nemacolin Resort - Shepards Rock","Total",72,86,"Female"
"322","Player 17","Avalon Lakes Golf Club","Total",72,81,"Female"
"323","Player 18","Longue Vue Club","Total",70,71,"Female"
"324","Player 19","Indiana Country Club","Total",72,79,"Female"
"325","Player 15","Indiana Country Club","Total",72,75,"Female"
"326","Player 20","Indiana Country Club","Total",72,81,"Female"
"327","Player 16","Indiana Country Club","Total",72,78,"Female"
"328","Player 21","Indiana Country Club","Total",72,80,"Female"
"329","Player 21","PGA National - Palmer","Total",72,77,"Female"
"330","Player 19","Longue Vue Club","Total",72,82,"Female"
"331","Player 21","PGA National - Palmer","Total",72,73,"Female"
"332","Player 16","Meadville Country Club","Total",73,79,"Female"
"333","Player 20","Meadville Country Club","Total",73,83,"Female"
"334","Player 16","Meadville Country Club","Total",73,85,"Female"
"335","Player 20","Meadville Country Club","Total",73,82,"Female"
"336","Player 16","Longue Vue Club","Total",71,84,"Female"
"337","Player 21","San Destin Resort - Baytowne","Total",72,75,"Female"
"338","Player 15","Avalon Lakes Golf Club","1",4,5,"Female"
"339","Player 16","Avalon Lakes Golf Club","1",4,6,"Female"
"340","Player 15","Nemacolin Resort - Shepards Rock","1",5,6,"Female"
"341","Player 15","Nemacolin Resort - Shepards Rock","1",5,5,"Female"
"342","Player 16","Nemacolin Resort - Shepards Rock","1",5,6,"Female"
"343","Player 16","Nemacolin Resort - Shepards Rock","1",5,5,"Female"
"344","Player 17","Avalon Lakes Golf Club","1",4,5,"Female"
"345","Player 18","Longue Vue Club","1",4,4,"Female"
"346","Player 19","Indiana Country Club","1",5,5,"Female"
"347","Player 15","Indiana Country Club","1",5,5,"Female"
"348","Player 20","Indiana Country Club","1",5,5,"Female"
"349","Player 16","Indiana Country Club","1",5,6,"Female"
"350","Player 21","Indiana Country Club","1",5,5,"Female"
"351","Player 21","PGA National - Palmer","1",4,4,"Female"
"352","Player 19","Longue Vue Club","1",4,5,"Female"
"353","Player 21","PGA National - Palmer","1",4,4,"Female"
"354","Player 16","Meadville Country Club","1",5,5,"Female"
"355","Player 20","Meadville Country Club","1",5,6,"Female"
"356","Player 16","Meadville Country Club","1",5,5,"Female"
"357","Player 20","Meadville Country Club","1",5,4,"Female"
"358","Player 16","Longue Vue Club","1",4,5,"Female"
"359","Player 21","San Destin Resort - Baytowne","1",4,4,"Female"
"360","Player 15","Avalon Lakes Golf Club","2",4,6,"Female"
"361","Player 16","Avalon Lakes Golf Club","2",4,5,"Female"
"362","Player 15","Nemacolin Resort - Shepards Rock","2",4,5,"Female"
"363","Player 15","Nemacolin Resort - Shepards Rock","2",4,5,"Female"
"364","Player 16","Nemacolin Resort - Shepards Rock","2",4,7,"Female"
"365","Player 16","Nemacolin Resort - Shepards Rock","2",4,7,"Female"
"366","Player 17","Avalon Lakes Golf Club","2",4,4,"Female"
"367","Player 18","Longue Vue Club","2",4,3,"Female"
"368","Player 19","Indiana Country Club","2",4,6,"Female"
"369","Player 15","Indiana Country Club","2",4,5,"Female"
"370","Player 20","Indiana Country Club","2",4,4,"Female"
"371","Player 16","Indiana Country Club","2",4,5,"Female"
"372","Player 21","Indiana Country Club","2",4,4,"Female"
"373","Player 21","PGA National - Palmer","2",3,3,"Female"
"374","Player 19","Longue Vue Club","2",4,4,"Female"
"375","Player 21","PGA National - Palmer","2",3,3,"Female"
"376","Player 16","Meadville Country Club","2",4,4,"Female"
"377","Player 20","Meadville Country Club","2",4,5,"Female"
"378","Player 16","Meadville Country Club","2",4,5,"Female"
"379","Player 20","Meadville Country Club","2",4,5,"Female"
"380","Player 16","Longue Vue Club","2",4,6,"Female"
"381","Player 21","San Destin Resort - Baytowne","2",4,3,"Female"
"382","Player 15","Avalon Lakes Golf Club","3",5,5,"Female"
"383","Player 16","Avalon Lakes Golf Club","3",5,6,"Female"
"384","Player 15","Nemacolin Resort - Shepards Rock","3",4,5,"Female"
"385","Player 15","Nemacolin Resort - Shepards Rock","3",4,5,"Female"
"386","Player 16","Nemacolin Resort - Shepards Rock","3",4,7,"Female"
"387","Player 16","Nemacolin Resort - Shepards Rock","3",4,5,"Female"
